fips,pa_annual_pa_fire,pa_annual_pa_flood,pa_annual_pa_seismic,pa_annual_pa_wind,pa_annual_pa_winter,pa_n_disasters_fire,pa_n_disasters_flood,pa_n_disasters_seismic,pa_n_disasters_wind,pa_n_disasters_winter,pa_total_obligated_fire,pa_total_obligated_flood,pa_total_obligated_seismic,pa_total_obligated_wind,pa_total_obligated_winter,pa_total_obligated_total,pa_annual_pa_total,pa_n_disasters_total
00003,0.0,0.0,0.0,359417.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,359417.45999999996,0.0,359417.45999999996,359417.0,2.0
00005,0.0,0.0,0.0,513182.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,513182.45999999996,0.0,513182.45999999996,513182.0,1.0
00019,0.0,1754456.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1754456.18,0.0,0.0,0.0,1754456.18,1754456.0,1.0
00021,0.0,3096890.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3096889.7199999997,0.0,0.0,0.0,3096889.7199999997,3096890.0,1.0
00111,0.0,0.0,0.0,289886.0,45600.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,289886.27,45599.54,335485.81,335486.0,2.0
00123,0.0,0.0,0.0,143141.0,62996.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,143141.26,62996.0,206137.26,206137.0,2.0
00373,0.0,0.0,0.0,817314.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,817313.98,0.0,817313.98,817314.0,2.0
01001,0.0,0.0,0.0,429962.0,2311468.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,6879392.3100000005,2311467.84,9190860.15,2741430.0,10.0
01003,0.0,0.0,0.0,21719797.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,390956347.18,0.0,390956347.18,21719797.0,14.0
01005,0.0,0.0,0.0,160284.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2404254.67,0.0,2404254.67,160284.0,6.0
01007,0.0,0.0,0.0,283680.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4822560.91,0.0,4822560.91,283680.0,5.0
01009,0.0,0.0,0.0,221113.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4201143.24,0.0,4201143.24,221113.0,7.0
01011,0.0,0.0,0.0,90470.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1085644.34,0.0,1085644.34,90470.0,6.0
01013,0.0,0.0,0.0,123921.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2354490.76,0.0,2354490.76,123921.0,11.0
01015,0.0,0.0,0.0,2631299.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,44732087.339999996,0.0,44732087.339999996,2631299.0,6.0
01017,0.0,0.0,0.0,102523.0,189800.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1947934.77,189799.65000000002,2137734.42,292323.0,11.0
01019,0.0,0.0,0.0,244250.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5129248.46,0.0,5129248.46,244250.0,10.0
01021,0.0,0.0,0.0,3189902.0,958820.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,0.0,70177848.37,958820.1100000001,71136668.48,4148722.0,34.0
01023,0.0,0.0,0.0,61164.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,978622.71,0.0,978622.71,61164.0,6.0
01025,0.0,0.0,0.0,1517513.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,24280215.68,0.0,24280215.68,1517513.0,10.0
01027,0.0,0.0,0.0,30976.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,557567.83,0.0,557567.83,30976.0,6.0
01029,0.0,0.0,0.0,53982.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,701770.96,0.0,701770.96,53982.0,4.0
01031,0.0,0.0,0.0,887657.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,14202510.57,0.0,14202510.57,887657.0,9.0
01033,0.0,0.0,0.0,119093.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2500956.28,0.0,2500956.28,119093.0,7.0
01035,0.0,0.0,0.0,285526.0,52933.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,4568409.5200000005,52932.590000000004,4621342.11,338459.0,8.0
01037,0.0,0.0,0.0,52003.0,67635.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,832040.18,67635.25,899675.43,119638.0,5.0
01039,0.0,0.0,0.0,1258394.0,83783.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,26426271.95,83783.0,26510054.95,1342177.0,15.0
01041,0.0,0.0,0.0,425634.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,6810151.01,0.0,6810151.01,425634.0,9.0
01043,0.0,0.0,0.0,1165305.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,24471414.87,0.0,24471414.87,1165305.0,10.0
01045,0.0,0.0,0.0,230517.0,98440.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,4610339.38,98439.76999999999,4708779.149999999,328957.0,14.0
01047,0.0,0.0,0.0,455217.0,9510396.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,7283471.4,9510396.49,16793867.89,9965613.0,9.0
