countyCode,state,claim_count,total_paid,total_damage,total_coverage,total_bldg_value,min_year,max_year,years_of_data,avg_paid_per_claim,annual_claim_count,annual_paid
00nan,AK,29,272677.74,289869.0,1753900.0,2390367.0,1979,2013,35,9402.680689655172,0.8285714285714286,7790.792571428571
00nan,AL,808,5690863.41,6840054.0,42002900.0,42657769.0,1978,2022,45,7043.147784653465,17.955555555555556,126463.63133333334
00nan,AR,195,2724758.45,3116469.0,9968800.0,18673244.0,1978,2021,44,13973.120256410257,4.431818181818182,61926.32840909092
00nan,AS,21,62820.61,84033.0,951700.0,1378239.0,1980,2022,43,2991.457619047619,0.4883720930232558,1460.9444186046512
00nan,AZ,73,981604.06,1126102.0,3091800.0,5633452.0,1978,2021,44,13446.63095890411,1.6590909090909092,22309.18318181818
00nan,CA,293,3045098.46,3878948.0,34573100.0,120710329.0,1978,2019,42,10392.827508532424,6.976190476190476,72502.34428571428
00nan,CO,235,1044525.16,1251361.0,7223000.0,7891236.0,1978,2013,36,4444.787914893617,6.527777777777778,29014.58777777778
00nan,CT,177,2521799.71,2879737.0,13002600.0,16648507.0,1978,2012,35,14247.455988700563,5.057142857142857,72051.42028571428
00nan,DE,81,860347.98,997993.0,7974400.0,7860561.0,1978,2012,35,10621.58,2.3142857142857145,24581.370857142854
00nan,FL,1444,15100898.45,18075237.0,110061800.0,109500230.0,1978,2024,47,10457.685907202216,30.72340425531915,321295.71170212765
00nan,GA,61,373102.09,412551.0,2545800.0,4039179.0,1978,2021,44,6116.427704918032,1.3863636363636365,8479.592954545455
00nan,GU,11,71018.33,88552.0,707400.0,315005.0,1979,2002,24,6456.211818181819,0.4583333333333333,2959.0970833333336
00nan,HI,102,896745.05,993534.0,8955800.0,6100740.0,1979,2018,40,8791.618137254902,2.55,22418.62625
00nan,IA,100,1341491.9,1635888.0,6729700.0,8046874.0,1978,2019,42,13414.919,2.380952380952381,31940.283333333333
00nan,ID,30,144104.1,163640.0,1771600.0,1803216.0,1978,2017,40,4803.47,0.75,3602.6025
00nan,IL,1727,11733276.98,15297593.0,45152700.0,77241816.0,1978,2023,46,6794.022570932253,37.54347826086956,255071.2386956522
00nan,IN,233,1212728.69,1555581.0,5928800.0,8049983.0,1978,2018,41,5204.844163090129,5.682926829268292,29578.748536585364
00nan,KS,95,460594.31,566324.0,3013200.0,5150514.0,1978,2019,42,4848.361157894737,2.261904761904762,10966.531190476191
00nan,KY,569,6496498.87,10542848.0,18327300.0,40822756.0,1978,2021,44,11417.396959578207,12.931818181818182,147647.7015909091
00nan,LA,4502,37385312.88,46009504.0,129900500.0,1980766090.0,1978,2021,44,8304.15657041315,102.3181818181818,849666.2018181819
00nan,MA,312,2607858.32,3618266.0,21396800.0,21461878.0,1978,2018,41,8358.520256410256,7.609756097560975,63606.30048780488
00nan,MD,4576,1203241.88,1933017.0,7172600.0,13424667.0,1978,2012,35,262.94621503496506,130.74285714285713,34378.33942857143
00nan,ME,135,1086140.85,1226928.0,9556800.0,9091604.0,1978,2019,42,8045.487777777778,3.2142857142857144,25860.49642857143
00nan,MI,162,836273.81,1009142.0,5283200.0,12523481.0,1978,2020,43,5162.18401234568,3.767441860465116,19448.228139534884
00nan,MN,182,1892476.49,2553692.0,4924400.0,7793545.0,1978,2019,42,10398.222472527472,4.333333333333333,45058.96404761905
00nan,MO,2206,20684239.81,26342814.0,59265200.0,478613537.0,1978,2022,45,9376.355308250228,49.02222222222223,459649.7735555556
00nan,MP,5,9623.85,10623.0,186100.0,26700.0,1979,2026,48,1924.77,0.1041666666666666,200.496875
00nan,MS,1713,11756077.89,15828813.0,39217900.0,653034353.0,1978,2026,49,6862.859246935202,34.95918367346939,239919.95693877552
00nan,MT,58,182302.53,214201.0,1501200.0,8301093.0,1978,2011,34,3143.147068965517,1.7058823529411764,5361.839117647059
00nan,NC,845,8825770.54,10602623.0,78623000.0,73373016.0,1978,2019,42,10444.698863905323,20.11904761904762,210137.39380952375
00nan,ND,240,1523008.26,1798728.0,7439100.0,7459917.0,1978,2019,42,6345.86775,5.714285714285714,36262.10142857143
00nan,NE,353,2120105.92,2852188.0,7525800.0,22902293.0,1978,2019,42,6005.965779036827,8.404761904761905,50478.71238095238
00nan,NH,28,103566.17,115474.0,938800.0,999196.0,1978,2020,43,3698.7917857142857,0.6511627906976745,2408.515581395349
00nan,NJ,579,9468225.78,10714109.0,49387200.0,77070731.0,1978,2021,44,16352.721554404145,13.159090909090908,215186.94954545447
00nan,NM,9,32053.17,37881.0,269200.0,313200.0,1980,1993,14,3561.463333333333,0.6428571428571429,2289.512142857143
00nan,NV,20,90009.44,116022.0,1693200.0,1286400.0,1979,1997,19,4500.472,1.0526315789473684,4737.338947368421
00nan,NY,872,8961551.129999999,10138510.0,64675600.0,72836118.0,1978,2023,46,10277.008176605505,18.956521739130437,194816.32891304343
00nan,OH,207,1284060.92,1674397.0,9645800.0,10026300.0,1978,2020,43,6203.192850241546,4.813953488372093,29861.881860465117
00nan,OK,123,2376516.72,3383299.0,6205700.0,614430718.0,1978,2022,45,19321.274146341464,2.7333333333333334,52811.48266666667
00nan,OR,108,560221.22,910885.0,3277800.0,6860900.0,1978,1996,19,5187.233518518518,5.684210526315789,29485.32736842105
00nan,PA,1257,8949522.57,11308490.0,46165400.0,78867619.0,1978,2021,44,7119.747470167064,28.568181818181817,203398.24022727276
00nan,PR,16691,103707706.9,132781637.0,722633600.0,1396602347.0,1978,2026,49,6213.390863339524,340.6326530612245,2116483.814285714
00nan,RI,66,408088.68,577154.0,2360100.0,3929291.0,1978,2012,35,6183.1618181818185,1.8857142857142857,11659.676571428572
00nan,SC,321,3394493.61,5016122.0,28307400.0,24968416.0,1978,2022,45,10574.74644859813,7.133333333333334,75433.19133333334
