fips,policy_count,total_building_coverage,total_contents_coverage,total_premium,total_tiv,avg_premium,avg_building_coverage
00000,27,5473000,271000,47097,5744000,1744.0,202704.0
01000,83,17280000,3708000,71452,20988000,861.0,208193.0
01001,241,51859000,11428000,290773,63287000,1207.0,215183.0
01003,25779,5866465000,712243000,15709115,6578708000,609.0,227568.0
01005,33,5879000,1513000,46080,7392000,1396.0,178152.0
01007,23,5035000,1700000,40893,6735000,1778.0,218913.0
01009,45,9350000,2722000,92556,12072000,2057.0,207778.0
01011,5,781000,106000,7217,887000,1443.0,156200.0
01013,2,238000,80000,889,318000,444.0,119000.0
01015,400,70926000,18250000,552285,89176000,1381.0,177315.0
01017,37,7560000,2089000,50747,9649000,1372.0,204324.0
01019,206,38492000,5500000,217610,43992000,1056.0,186854.0
01021,34,5330000,1169000,38389,6499000,1129.0,156765.0
01023,25,3317000,1049000,27459,4366000,1098.0,132680.0
01025,27,4572000,788000,33235,5360000,1231.0,169333.0
01029,4,1042000,113000,5251,1155000,1313.0,260500.0
01031,199,35928000,12932000,178659,48860000,898.0,180543.0
01033,142,28624000,5102000,164641,33726000,1159.0,201577.0
01035,3,552000,166000,2601,718000,867.0,184000.0
01037,22,3833000,444000,29693,4277000,1350.0,174227.0
01039,102,18654000,1935000,134960,20589000,1323.0,182882.0
01041,4,384000,120000,2062,504000,516.0,96000.0
01043,83,16552000,3311000,88150,19863000,1062.0,199422.0
01045,70,13048000,4470000,54580,17518000,780.0,186400.0
01047,226,32886000,4414000,195307,37300000,864.0,145513.0
01049,72,14739000,3949000,103518,18688000,1438.0,204708.0
01051,376,74099000,14001000,426150,88100000,1133.0,197072.0
01053,143,27433000,10449000,304888,37882000,2132.0,191839.0
01055,261,51913000,8448000,321069,60361000,1230.0,198900.0
01057,26,2615000,703000,20740,3318000,798.0,100577.0
01059,18,3299000,1114000,18599,4413000,1033.0,183278.0
01061,62,11721000,4607000,54348,16328000,877.0,189048.0
01063,66,10858000,741000,58904,11599000,892.0,164515.0
01065,58,9488000,2532000,74473,12020000,1284.0,163586.0
01067,39,7829000,1746000,37847,9575000,970.0,200744.0
01069,360,67325000,19377000,370084,86702000,1028.0,187014.0
01071,137,23950000,4353000,156259,28303000,1141.0,174818.0
01073,1613,341304000,95271000,2197543,436575000,1362.0,211596.0
01075,13,1788000,230000,9305,2018000,716.0,137538.0
01077,140,28318000,6137000,162566,34455000,1161.0,202271.0
01079,82,13605000,2122000,90544,15727000,1104.0,165915.0
01081,290,63947000,16515000,238651,80462000,823.0,220507.0
01083,304,71142000,19774000,335850,90916000,1105.0,234020.0
01085,64,11654000,1820000,63170,13474000,987.0,182094.0
01087,22,4876000,1580000,21631,6456000,983.0,221636.0
01089,3479,803710000,216616000,3815200,1020326000,1097.0,231018.0
01091,79,11024000,1015000,76463,12039000,968.0,139544.0
01093,30,5702000,2443000,63522,8145000,2117.0,190067.0
01095,88,18289000,4803000,104736,23092000,1190.0,207830.0
01097,6952,1578090000,473640000,8885740,2051730000,1278.0,226998.0
01099,11,1391000,271000,12212,1662000,1110.0,126455.0
01101,902,189318000,59062000,919263,248380000,1019.0,209887.0
01103,546,114693000,28330000,589137,143023000,1079.0,210060.0
01105,1,92000,34000,301,126000,301.0,92000.0
01107,65,11282000,1928000,71288,13210000,1097.0,173569.0
01109,14,3071000,1170000,15855,4241000,1132.0,219357.0
01111,14,2435000,731000,13413,3166000,958.0,173929.0
01113,70,14425000,5184000,92486,19609000,1321.0,206071.0
01115,350,74760000,14895000,322815,89655000,922.0,213600.0
01117,617,142518000,48193000,817403,190711000,1325.0,230985.0
01119,35,4862000,694000,33721,5556000,963.0,138914.0
01121,398,78963000,17709000,485041,96672000,1219.0,198399.0
01123,87,19166000,4637000,101295,23803000,1164.0,220299.0
01125,681,141813000,29961000,739740,171774000,1086.0,208242.0
01127,87,16634000,4534000,135615,21168000,1559.0,191195.0
01129,12,2160000,563000,21655,2723000,1805.0,180000.0
01131,42,7047000,877000,41310,7924000,984.0,167786.0
01133,29,5501000,849000,32133,6350000,1108.0,189690.0
02000,6,1954000,343000,3002,2297000,500.0,325667.0
02020,387,102219000,24008000,88399,126227000,228.0,264132.0
02050,95,26408000,4053000,23343,30461000,246.0,277979.0
02063,25,5973000,1642000,6914,7615000,277.0,238920.0
02070,2,1000000,500000,631,1500000,316.0,500000.0
02090,616,148532000,31250000,194390,179782000,316.0,241123.0
02100,9,2250000,850000,3414,3100000,379.0,250000.0
02110,1110,275291000,92422000,315756,367713000,284.0,248010.0
02122,354,83580000,19171000,143750,102751000,406.0,236102.0
02130,103,34001000,6508000,120230,40509000,1167.0,330107.0
02158,5,2000000,1136000,1668,3136000,334.0,400000.0
02170,207,51879000,14272000,54743,66151000,264.0,250623.0
02180,35,9907000,2426000,49140,12333000,1404.0,283057.0
02185,1,250000,100000,219,350000,219.0,250000.0
02188,13,3067000,816000,21954,3883000,1689.0,235923.0
02195,30,8178000,1703000,22220,9881000,741.0,272600.0
02220,75,20212000,4288000,97524,24500000,1300.0,269493.0
02230,11,1917000,465000,2649,2382000,241.0,174273.0
02261,3,536000,365000,1071,901000,357.0,178667.0
02290,69,16091000,4513000,18063,20604000,262.0,233203.0
04000,24,5087000,1007000,19076,6094000,795.0,211958.0
04001,31,6657000,1346000,34887,8003000,1125.0,214742.0
04003,832,149473000,25085000,832918,174558000,1001.0,179655.0
04005,1038,231456000,61356000,1172707,292812000,1130.0,222983.0
04007,322,62298000,9749000,457760,72047000,1422.0,193472.0
04009,227,39906000,5886000,182209,45792000,803.0,175797.0
04011,17,2916000,1569000,30701,4485000,1806.0,171529.0
04012,276,56786000,6070000,307818,62856000,1115.0,205746.0
04013,12492,2987008000,619053000,7877603,3606061000,631.0,239114.0
04015,765,155084000,23572000,498175,178656000,651.0,202724.0
04017,376,75680000,13154000,484411,88834000,1288.0,201277.0
04019,3006,669818000,156749000,2896108,826567000,963.0,222827.0
04021,811,187165000,47628000,657802,234793000,811.0,230783.0
04023,372,83293000,14238000,589968,97531000,1586.0,223906.0
04025,1602,349670000,76228000,1845544,425898000,1152.0,218271.0
04027,419,82973000,12554000,319738,95527000,763.0,198026.0
05000,123,13270000,1071000,244488,14341000,1988.0,107886.0
05001,100,14012000,2136000,78136,16148000,781.0,140120.0
05003,64,8094000,967000,46603,9061000,728.0,126469.0
05005,133,21764000,1913000,163390,23677000,1228.0,163639.0
05007,584,139940000,32681000,622968,172621000,1067.0,239623.0
05009,36,7614000,1994000,78804,9608000,2189.0,211500.0
05011,22,3296000,524000,20720,3820000,942.0,149818.0
05013,4,546000,100000,2861,646000,715.0,136500.0
05015,8,638000,46000,7003,684000,875.0,79750.0
05017,161,32698000,12215000,144276,44913000,896.0,203093.0
05019,64,12122000,1496000,60528,13618000,946.0,189406.0
05021,155,21755000,2073000,111768,23828000,721.0,140355.0
